S,,10103,2016,EJECUCIONDEGASTOS,,,,,,,,,,,,,,,,,,
CONTROL,CONCEPTO,VIGENCIA,DEPENDENCIA,RECURSOS,ORIGEN,DESTINACION,FINALIDAD,SITUACION,No COMP,No OBLI,No PAGO,RECIPROCA,COMP ANTICIPO,COMP SIN ANTICIPO,REVER COMP,OBLIGACION,REVER OBLI,PAGOS,ANULACION PAGOS,RESERVAS,CXP,OBLI X EJEC
D,2.1.01.01.23,1,14,10,013,002,70111,C,4,4,3,000000000000000,0,1378872,0,1378872,0,1378872,0,0,0,0
D,2.1.01.01.31,1,14,10,013,002,70111,C,4,4,3,000000000000000,0,2097900,0,2097900,0,2097900,0,0,0,0
D,2.1.01.02.03,1,14,10,013,002,70111,C,2,2,2,000000000000000,0,17127603,0,0,0,0,0,17127603,0,0
D,2.1.01.02.03,3,14,11,013,002,70111,C,0,0,1,000000000000000,0,0,0,0,0,1014000,0,0,0,0
D,2.1.01.02.09,1,14,10,013,002,70111,C,3,0,0,000000000000000,0,8079712,3529712,0,0,0,0,8079712,0,0
D,2.1.01.03.01.01.01.01,1,14,10,013,002,70111,C,3,3,0,000000000000000,0,6173617,0,6173617,0,0,0,0,6173617,0
D,2.1.01.03.01.01.03.01,1,14,10,013,002,70111,C,12,12,12,000000000000000,0,4824641,0,4824641,0,3135226,0,0,1689415,0
D,2.1.01.03.01.01.05.01,1,14,10,013,002,70111,C,25,25,25,000000000000000,0,387698,0,387698,0,251940,0,0,135758,0
D,2.1.01.03.01.03.01,1,14,10,013,002,70111,C,15,15,15,023602000000000,0,370565,0,370565,0,240982,0,0,129583,0
D,2.1.01.03.01.03.03,1,14,10,013,002,70111,C,15,15,15,023607000000000,0,2725118,0,2725118,0,1771932,0,0,953186,0
D,2.1.01.03.01.03.05,1,14,10,013,002,70111,C,15,15,15,020503000000000,0,370565,0,370565,0,240982,0,0,129583,0
D,2.1.01.03.01.03.07,1,14,10,013,002,70111,C,15,15,15,023607000000000,0,741130,0,741130,0,481964,0,0,259166,0
D,2.1.01.03.01.03.09,1,14,10,013,002,70111,C,3,3,3,000000000000000,0,368721,0,368721,0,239608,0,0,129113,0
D,2.1.01.03.03.01.05,1,14,10,013,002,70111,C,25,25,25,200000000000000,0,5616386,0,5616386,0,3649730,0,0,1966656,0
D,2.1.01.03.03.02,1,14,10,013,002,70111,C,12,12,12,200000000000000,0,4004896,0,4004896,0,2602526,0,0,1402370,0
D,2.1.01.03.03.03,1,14,10,013,002,70111,C,15,15,15,200000000000000,0,2964522,0,2964522,0,1927856,0,0,1036666,0
D,2.1.02.01.01,3,14,11,013,002,70111,C,0,0,1,000000000000000,0,0,0,0,0,3345000,0,0,0,0
D,2.1.02.02.03,1,14,10,013,002,70111,C,17,21,18,000000000000000,0,12048000,0,11999600,0,11999600,0,48400,0,0
D,2.1.02.02.07,1,14,10,013,002,70111,C,6,6,6,000000000000000,0,3908290,0,3908290,0,3908290,0,0,0,0
D,2.1.02.02.21,1,14,10,013,002,70111,C,1,0,0,000000000000000,0,75600000,0,0,0,0,0,75600000,0,0
D,2.1.02.02.98,1,14,10,013,002,70111,C,2,1,1,000000000000000,0,16444831,0,8246879,0,8246879,0,8197952,0,0
D,2.3.02.01.01.11,1,14,10,013,002,70111,C,1,0,0,000000000000000,0,192742479,0,0,0,0,0,192742479,0,0
D,2.3.02.01.01.11,3,14,11,013,002,70111,C,0,0,1,000000000000000,0,0,0,0,0,20018993,0,0,0,0
D,2.3.03.02.05,1,14,10,013,002,70111,C,8,2,2,000000000000000,0,2086835484,0,444000000,0,444000000,0,1642835484,0,0
D,2.3.03.02.05,3,14,11,013,002,70111,C,0,0,0,000000000000000,0,0,0,0,0,72603885,0,0,0,0
D,2.3.03.03.03.01,1,14,10,013,002,70111,C,10,10,8,000000000000000,0,7810763014,0,7810763014,0,7810763014,0,0,0,0
D,2.3.03.03.03.05,1,14,10,013,002,70111,C,48,48,47,200000000000000,0,1302868386,0,1302868386,0,1072303586,0,0,230564800,0
D,2.3.03.03.05.01,1,14,10,013,002,70111,C,4,4,3,000000000000000,0,494022922,0,494022922,0,494022922,0,0,0,0
D,2.3.03.03.05.05,1,14,10,013,002,70111,C,61,61,57,200000000000000,0,194099476,0,194099476,0,102778142,0,0,91321334,0
D,2.1.01.01.01.01,1,16,10,001,010,70111,C,54,54,54,000000000000000,0,74685076,0,73388495,0,72654581,0,1296581,733914,0
D,2.1.01.01.05,1,16,10,001,010,70111,C,18,18,18,000000000000000,0,5478051,0,5478051,0,5478051,0,0,0,0
D,2.1.01.01.07,1,16,10,001,010,70111,C,6,4,4,000000000000000,0,276670,0,276670,0,160134,0,0,116536,0
D,2.1.01.01.15,1,16,10,001,010,70111,C,53,53,53,000000000000000,0,950752,0,950752,0,950752,0,0,0,0
D,2.1.01.01.21,1,16,10,001,010,70111,C,6,4,4,000000000000000,0,2381294,0,2381294,0,1375946,0,0,1005348,0
D,2.1.01.01.31,1,16,10,001,010,70111,C,54,54,54,000000000000000,0,1908040,0,1770770,0,1693070,0,137270,77700,0
D,2.1.01.01.33,1,16,10,001,010,70111,C,6,4,4,000000000000000,0,3439440,0,3439440,0,2165998,0,0,1273442,0
