S,,10103,2016,PROGRAMACIONDEGASTOS,,,,,,,,,,,,,
CONTROL,CONCEPTOS,VIGENCIA,RECURSOS,ORIEGEN,DESTINACION,FINALIDAD,INICIAL,ADICIONES,REDUCIONES,CANCELACIONES,CREDITOS,CONTRACREDITOS,APLAAMIENTOS,DESAPLAZAMIENTOS,DEFINITIVO,CDPS,REVERSION CDPS
D,2.3.03.02.25,1,10,013,048,7082,152450879,0,0,0,0,0,0,0,152450879,138150000,0
D,2.3.03.02.25,1,10,013,055,7062,120000000,0,0,0,0,0,0,0,120000000,80000000,0
D,2.3.03.02.25,1,10,013,095,7066,110000000,0,0,0,0,0,0,0,110000000,80000000,0
D,2.3.03.02.25,1,10,019,066,7082,1200000000,0,0,0,0,0,0,0,1200000000,0,0
D,2.3.03.02.25,1,11,042,048,7082,135500000,0,0,0,0,0,0,0,135500000,0,0
D,2.3.03.02.47,1,10,001,072,7081,100000000,0,0,0,0,0,0,0,100000000,0,0
D,2.3.03.02.47,1,10,013,072,7082,203267839,0,0,0,0,0,0,0,203267839,50816700,0
D,2.3.03.02.47,1,11,042,070,7081,50000000,0,0,0,0,0,0,0,50000000,0,0
D,2.3.03.02.55,1,10,013,083,7062,190000002,0,0,0,0,0,0,0,190000002,54000000,0
D,2.3.03.02.55,2,10,013,083,7062,56424033,0,0,0,0,0,0,0,56424033,0,0
D,2.3.03.02.98,1,10,001,028,7109,155000000,0,0,0,0,0,0,0,155000000,0,0
D,2.3.03.02.98,1,10,001,048,7082,60364678,0,0,0,0,0,0,0,60364678,0,0
D,2.3.03.02.98,1,10,013,002,7095,1782950657,0,0,0,15000000,0,0,0,1797950657,898045486,0
D,2.3.03.02.98,1,10,013,028,7109,292571292,0,0,0,0,0,0,0,292571292,0,0
D,2.3.03.02.98,1,10,013,055,7062,65328529,0,0,0,0,0,0,0,65328529,5200000,0
D,2.3.04.01.02.98,1,10,013,066,7062,99616551,0,0,0,0,0,0,0,99616551,60000,0
D,2.3.04.02.01,1,10,013,002,7095,50000000,0,0,0,0,40000000,0,0,10000000,0,0
D,2.3.04.02.01,1,10,013,024,7063,20000000,0,0,0,0,0,0,0,20000000,0,0
D,2.3.04.02.01,1,10,013,066,70474,1000,0,0,0,0,0,0,0,1000,0,0
D,2.3.04.02.02,1,10,001,066,70474,1000,0,0,0,0,0,0,0,1000,0,0
D,2.3.04.02.02,1,10,013,002,7095,50000000,0,0,0,0,30000000,0,0,20000000,0,0
D,2.3.04.02.02,1,10,013,024,7063,20000000,0,0,0,0,0,0,0,20000000,0,0
D,2.3.04.02.02,1,10,013,066,70474,2000,0,0,0,0,0,0,0,2000,0,0
D,2.3.04.02.02,2,10,001,028,7102,19000000,0,0,0,0,0,0,0,19000000,0,0
D,2.3.04.02.98,1,10,013,002,7095,15080026,0,0,0,0,10000000,0,0,5080026,0,0
D,2.3.04.02.98,1,10,013,024,7063,20000000,0,0,0,0,0,0,0,20000000,0,0
D,2.3.04.04.01,1,10,001,066,7062,100000000,0,0,0,0,100000000,0,0,0,0,0
D,2.3.04.04.01,1,10,013,066,70474,65001000,0,0,0,0,0,0,0,65001000,0,0
D,2.3.04.04.01,1,10,013,066,7062,290000000,0,0,0,0,0,0,0,290000000,199419064,0
D,2.3.04.04.01,1,10,019,066,70474,55000000,0,0,0,0,0,0,0,55000000,0,0
D,2.3.04.04.01,1,11,042,066,7062,100000000,0,0,0,0,0,0,0,100000000,0,0
D,2.3.05.02.98,1,10,001,066,7062,150000000,0,0,0,0,0,0,0,150000000,0,0
D,2.3.05.02.98,1,10,013,066,70474,1000,0,0,0,0,0,0,0,1000,0,0
D,2.3.05.02.98,1,11,042,070,7062,787500000,0,0,0,0,0,0,0,787500000,0,0
D,2.3.06.02.03,1,10,013,021,7062,1000,0,0,0,0,0,0,0,1000,0,0
D,2.3.06.02.03,1,10,013,021,7063,840066624,0,0,0,0,0,0,0,840066624,800000000,0
D,2.3.06.02.03,2,10,013,021,7063,562258640,0,0,0,0,0,0,0,562258640,0,0
D,2.3.06.02.03,2,11,042,027,7016,49233910,0,0,0,0,0,0,0,49233910,0,0
D,2.3.06.02.09,1,10,013,002,7095,412187057,0,0,0,0,0,0,0,412187057,356000000,0
D,2.3.06.02.09,1,10,040,002,7095,7630000,0,0,0,0,0,0,0,7630000,0,0
D,2.3.06.02.09,2,10,013,002,7095,5408686,0,0,0,0,0,0,0,5408686,0,0
D,2.3.06.02.09,4,10,013,002,7096,80000000,0,0,0,0,0,0,0,80000000,80000000,0
D,2.3.06.02.09,4,10,019,002,7095,1600000000,0,0,0,0,0,0,0,1600000000,1600000000,0
D,2.3.06.02.13,1,10,001,028,7066,68000000,0,0,0,0,0,0,0,68000000,0,0
D,2.3.06.02.13,1,10,013,095,7066,110000004,0,0,0,0,0,0,0,110000004,0,0
D,2.4.02.01.01,1,10,001,098,70443,884347657,0,0,0,241718000,0,0,0,1126065657,258520809,0
D,2.4.02.01.01,1,10,013,098,70443,1070032530,0,0,0,0,0,0,0,1070032530,441581857,0
D,2.4.02.01.01,1,10,041,098,70443,545065928,0,0,0,0,0,0,0,545065928,0,0
D,2.4.02.02.01,1,10,001,098,70443,221086915,0,0,0,84406900,0,0,0,305493815,127069075,0
D,2.4.02.02.01,1,10,013,098,70443,1512070473,0,0,0,0,0,0,0,1512070473,533871460,0
D,2.4.02.02.01,1,10,041,098,70443,257614482,0,0,0,0,0,0,0,257614482,0,0
D,6.2,1,10,001,106,70111,529592711,0,0,0,0,0,0,0,529592711,123146100,0
D,6.4,1,10,001,106,70111,190340990,0,0,0,0,0,0,0,190340990,48261780,0
D,2.1.01.01.17,3,10,001,106,70111,4786129,0,0,0,0,0,0,0,0,0,0
D,2.1.01.01.19,3,10,001,106,70111,1046166,0,0,0,0,0,0,0,0,0,0
D,2.1.01.01.21,3,10,001,106,70111,2244253,0,0,0,0,0,0,0,0,0,0
D,2.1.01.01.33,3,10,001,106,70111,3870129,0,0,0,0,0,0,0,0,0,0
D,2.1.01.01.98,3,10,001,106,70111,37871002,0,0,0,0,0,0,0,0,0,0
D,2.1.01.02.03,3,10,001,106,70111,43558196,0,0,0,0,0,0,0,0,0,0
D,2.1.01.02.07,3,10,001,106,70111,1547868,0,0,0,0,0,0,0,0,0,0
D,2.1.01.02.09,3,10,001,106,70111,22009356,0,0,0,0,0,0,0,0,0,0
D,2.1.01.02.98,3,10,001,106,70111,145011582,0,0,0,0,0,0,0,0,0,0
D,2.1.01.03.03.01.01,3,10,001,106,70111,5426258,0,0,0,0,0,0,0,0,0,0
D,2.1.02.01.01,3,10,001,106,70111,10556000,0,0,0,0,0,0,0,0,0,0
D,2.1.02.01.05,3,10,001,106,70111,95636505,0,0,0,0,0,0,0,0,0,0
