"032124";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS FINANCIEROS";"033224";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS FINANCIEROS";"035124";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS FINANCIEROS";"036124";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS FINANCIEROS";"037124";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS FINANCIEROS";"037802";"GASTOS GENERALES"
"032125";"ADQUISICION DE BIENES Y SERVICIOS – DOTACION DE PERSONAL";"033225";"ADQUISICION DE BIENES Y SERVICIOS – DOTACION DE PERSONAL";"035125";"ADQUISICION DE BIENES Y SERVICIOS – DOTACION DE PERSONAL";"036125";"ADQUISICION DE BIENES Y SERVICIOS – DOTACION DE PERSONAL";"037125";"ADQUISICION DE BIENES Y SERVICIOS – DOTACION DE PERSONAL";"037802";"GASTOS GENERALES"
"032126";"ADQUISICION DE BIENES Y SERVICIOS – GASTOS ELECTORALES";"033226";"ADQUISICION DE BIENES Y SERVICIOS – GASTOS ELECTORALES";"035126";"ADQUISICION DE BIENES Y SERVICIOS – GASTOS ELECTORALES";"036126";"ADQUISICION DE BIENES Y SERVICIOS – GASTOS ELECTORALES";"037126";"ADQUISICION DE BIENES Y SERVICIOS – GASTOS ELECTORALES";"037802";"GASTOS GENERALES"
"032190";"ADQUISICION DE BIENES Y SERVICIOS - OTROS GASTOS POR ADQUISICION DE BIENES";"033290";"ADQUISICION DE BIENES Y SERVICIOS - OTROS GASTOS POR ADQUISICION DE BIENES";"035190";"ADQUISICION DE BIENES Y SERVICIOS - OTROS GASTOS POR ADQUISICION DE BIENES";"036190";"ADQUISICION DE BIENES Y SERVICIOS - OTROS GASTOS POR ADQUISICION DE BIENES";"037190";"ADQUISICION DE BIENES Y SERVICIOS - OTROS GASTOS POR ADQUISICION DE BIENES";"037802";"GASTOS GENERALES"
"032191";"ADQUISICION DE BIENES Y SERVICIOS - OTROS GASTOS POR ADQUISICION DE SERVICIOS";"033291";"ADQUISICION DE BIENES Y SERVICIOS - OTROS GASTOS POR ADQUISICION DE SERVICIOS";"035191";"ADQUISICION DE BIENES Y SERVICIOS - OTROS GASTOS POR ADQUISICION DE SERVICIOS";"036191";"ADQUISICION DE BIENES Y SERVICIOS - OTROS GASTOS POR ADQUISICION DE SERVICIOS";"037191";"ADQUISICION DE BIENES Y SERVICIOS - OTROS GASTOS POR ADQUISICION DE SERVICIOS";"037802";"GASTOS GENERALES"
"032199";"ADQUISICION DE BIENES Y SERVICIOS - PASIVOS EXIGIBLES VIGENCIAS EXPIRADAS";"033299";"ADQUISICION DE BIENES Y SERVICIOS - PASIVOS EXIGIBLES VIGENCIAS EXPIRADAS";"035199";"ADQUISICION DE BIENES Y SERVICIOS - PASIVOS EXIGIBLES VIGENCIAS EXPIRADAS";"036199";"ADQUISICION DE BIENES Y SERVICIOS - PASIVOS EXIGIBLES VIGENCIAS EXPIRADAS";"037199";"ADQUISICION DE BIENES Y SERVICIOS - PASIVOS EXIGIBLES VIGENCIAS EXPIRADAS";"037802";"GASTOS GENERALES"
"0323";"TRANSFERENCIAS CORRIENTES APROBADAS (CR)";"0334";"TRANSFERENCIAS CORRIENTES POR EJECUTAR (DB)";"0352";"TRANSFERENCIAS CORRIENTES COMPROMETIDAS (DB)";"0362";"OBLIGACIONES EN TRANSFERENCIAS CORRIENTES (DB)";"0372";"PAGOS EN EFECTIVO POR TRANSFERENCIAS CORRIENTES (DB)";"0378";"EJECUCION DE GASTOS DE FUNCIONAMIENTO SIN FLUJO DE EFECTIVO (DB)"
"032301";"TRANSFERENCIAS POR CONVENIOS CON EL SECTOR PRIVADO";"033401";"TRANSFERENCIAS POR CONVENIOS CON EL SECTOR PRIVADO";"035201";"TRANSFERENCIAS POR CONVENIOS CON EL SECTOR PRIVADO";"036201";"TRANSFERENCIAS POR CONVENIOS CON EL SECTOR PRIVADO";"037201";"TRANSFERENCIAS POR CONVENIOS CON EL SECTOR PRIVADO";"037803";"TRANSFERENCIAS CORRIENTES"
"032302";"TRANSFERENCIAS AL SECTOR PUBLICO - ORDEN NACIONAL";"033402";"TRANSFERENCIAS AL SECTOR PUBLICO - ORDEN NACIONAL";"035202";"TRANSFERENCIAS AL SECTOR PUBLICO - ORDEN NACIONAL";"036202";"TRANSFERENCIAS AL SECTOR PUBLICO - ORDEN NACIONAL";"037202";"TRANSFERENCIAS AL SECTOR PUBLICO - ORDEN NACIONAL";"037803";"TRANSFERENCIAS CORRIENTES"
"032303";"TRANSFERENCIAS AL SECTOR PUBLICO - DEPARTAMENTOS";"033403";"TRANSFERENCIAS AL SECTOR PUBLICO - DEPARTAMENTOS";"035203";"TRANSFERENCIAS AL SECTOR PUBLICO - DEPARTAMENTOS";"036203";"TRANSFERENCIAS AL SECTOR PUBLICO - DEPARTAMENTOS";"037203";"TRANSFERENCIAS AL SECTOR PUBLICO - DEPARTAMENTOS";"037803";"TRANSFERENCIAS CORRIENTES"
"032304";"TRANSFERENCIAS AL SECTOR PUBLICO - DISTRITOS Y MUNICIPIOS";"033404";"TRANSFERENCIAS AL SECTOR PUBLICO - DISTRITOS Y MUNICIPIOS";"035204";"TRANSFERENCIAS AL SECTOR PUBLICO - DISTRITOS Y MUNICIPIOS";"036204";"TRANSFERENCIAS AL SECTOR PUBLICO - DISTRITOS Y MUNICIPIOS";"037204";"TRANSFERENCIAS AL SECTOR PUBLICO - DISTRITOS Y MUNICIPIOS";"037803";"TRANSFERENCIAS CORRIENTES"
"032305";"TRANSFERENCIAS AL SECTOR PUBLICO - EMPRESAS PUBLICAS FINANCIERAS";"033405";"TRANSFERENCIAS AL SECTOR PUBLICO - EMPRESAS PUBLICAS FINANCIERAS";"035205";"TRANSFERENCIAS AL SECTOR PUBLICO - EMPRESAS PUBLICAS FINANCIERAS";"036205";"TRANSFERENCIAS AL SECTOR PUBLICO - EMPRESAS PUBLICAS FINANCIERAS";"037205";"TRANSFERENCIAS AL SECTOR PUBLICO - EMPRESAS PUBLICAS FINANCIERAS";"037803";"TRANSFERENCIAS CORRIENTES"
