4665,Comercio al por mayor de desperdicios desechos y chatarra,0.003
4669,Comercio al por mayor de otros productos n.c.p.,0.003
4690,Comercio al por mayor no especializado,0.003
4711,Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos bebidas o tabaco,0.003
4719,Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por productos diferentes de alimentos (viveres en general) bebidas y tabaco,0.003
4721,Comercio al por menor de productos agricolas para el consumo en establecimientos especializados,0.003
4722,Comercio al por menor de leche productos lacteos y huevos en establecimientos especializados,0.003
4723,Comercio al por menor de carnes (incluye aves de corral) productos carnicos pescados y productos de mar en establecimientos especializados,0.003
4724,Comercio al por menor de bebidas y productos del tabaco en establecimientos especializados,0.003
4729,Comercio al por menor de otros productos alimenticios n.c.p. en establecimientos especializados,0.003
4731,Comercio al por menor de combustible para automotores,0.003
4732,Comercio al por menor de lubricantes (aceites grasas) aditivos y productos de limpieza para vehiculos automotores,0.003
4741,Comercio al por menor de computadores equipos perifericos programas de informatica y equipos de telecomunicaciones en establecimientos especializados,0.003
4742,Comercio al por menor de equipos y aparatos de sonido y de video en establecimientos especializados,0.003
4751,Comercio al por menor de productos textiles en establecimientos especializados,0.003
4752,Comercio al por menor de articulos de ferreteria pinturas y productos de vidrio en establecimientos especializados,0.003
4753,Comercio al por menor de tapices alfombras y cubrimientos para paredes y pisos en establecimientos especializados,0.003
4754,Comercio al por menor de electrodomesticos y gasodomesticos de uso domestico muebles y equipos de iluminacion,0.003
4755,Comercio al por menor de articulos y utensilios de uso domestico,0.003
4759,Comercio al por menor de otros articulos domesticos en establecimientos especializados,0.003
4761,Comercio al por menor de libros periodicos materiales y articulos de papeleria y escritorio en establecimientos especializados,0.003
4762,Comercio al por menor de articulos deportivos en establecimientos especializados,0.003
4769,Comercio al por menor de otros articulos culturales y de entretenimiento n.c.p. en establecimientos especializados,0.003
4771,Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados,0.003
4772,Comercio al por menor de todo tipo de calzado y articulos de cuero y sucedaneos del cuero en establecimientos especializados.,0.003
4773,Comercio al por menor de productos farmaceuticos y medicinales cosmeticos y articulos de tocador en establecimientos especializados,0.003
4774,Comercio al por menor de otros productos nuevos en establecimientos especializados,0.003
4775,Comercio al por menor de articulos de segunda mano,0.003
4781,Comercio al por menor de alimentos bebidas y tabaco en puestos de venta moviles,0.003
4782,Comercio al por menor de productos textiles prendas de vestir y calzado en puestos de venta moviles,0.003
4789,Comercio al por menor de otros productos en puestos de venta moviles,0.003
4791,Comercio al por menor realizado a traves de Internet,0.003
4792,Comercio al por menor realizado a traves de casas de venta o por correo,0.003
4799,Otros tipos de comercio al por menor no realizado en establecimientos puestos de venta o mercados.,0.003
4911,Transporte ferreo de pasajeros,0.006
4912,Transporte ferreo de carga,0.006
4921,Transporte de pasajeros,0.006
4922,Transporte mixto,0.006
4923,Transporte de carga por carretera,0.006
4930,Transporte por tuberias,0.006
5011,Transporte de pasajeros maritimo y de cabotaje,0.006
5012,Transporte de carga maritimo y de cabotaje,0.006
5021,Transporte fluvial de pasajeros,0.006
5022,Transporte fluvial de carga,0.006
5111,Transporte aereo nacional de pasajeros,0.006
5112,Transporte aereo internacional de pasajeros,0.006
5121,Transporte aereo nacional de carga,0.006
5122,Transporte aereo internacional de carga,0.006
5210,Almacenamiento y deposito,0.006
5221,Actividades de estaciones vias y servicios complementarios para el transporte terrestre,0.006
5222,Actividades de puertos y servicios complementarios para el transporte acuatico,0.006
5223,Actividades de aeropuertos servicios de navegacion aerea y demas actividades conexas al transporte aereo,0.006
5224,Manipulacion de carga,0.006
5229,Otras actividades complementarias al transporte,0.006
5310,Actividades postales nacionales,0.006
5320,Actividades de mensajeria,0.006
5511,Alojamiento en hoteles,0.006
5512,Alojamiento en apartahoteles,0.006
5513,Alojamiento en centros vacacionales,0.006
5514,Alojamiento rural,0.006
5519,Otros tipos de alojamientos para visitantes,0.006
5520,Actividades de zonas de camping y parques para vehiculos recreacionales,0.006
5530,Servicio por horas,0.006
5590,Otros tipos de alojamiento n.c.p.,0.006
5611,Expendio a la mesa de comidas preparadas,0.006
5612,Expendio por autoservicio de comidas preparadas,0.006
5613,Expendio de comidas preparadas en cafeterias,0.006
5619,Otros tipos de expendio de comidas preparadas n.c.p.,0.006
5621,Catering para eventos,0.006
5629,Actividades de otros servicios de comidas,0.006
5630,Expendio de bebidas alcoholicas para el consumo dentro del establecimiento,0.006
5811,Edicion de libros,0.006
5812,Edicion de directorios y listas de correo,0.006
5813,Edicion de periodicos revistas y otras publicaciones periodicas,0.006
5819,Otros trabajos de edicion,0.006
5820,Edicion de programas de informatica (software),0.006
5911,Actividades de produccion de peliculas cinematograficas videos programas anuncios y comerciales de television,0.006
5912,Actividades de posproduccion de peliculas cinematograficas videos programas anuncios y comerciales de television,0.006
5913,Actividades de distribucion de peliculas cinematograficas videos programas anuncios y comerciales de television,0.006
5914,Actividades de exhibicion de peliculas cinematograficas y videos,0.006
5920,Actividades de grabacion de sonido y edicion de musica,0.006
6010,Actividades de programacion y transmision en el servicio de radiodifusion sonora,0.006
6020,Actividades de programacion y transmision de television,0.006
6110,Actividades de telecomunicaciones alambricas,0.006
6120,Actividades de telecomunicaciones inalambricas,0.006
6130,Actividades de telecomunicacion satelital,0.006
6190,Otras actividades de telecomunicaciones,0.006
6201,Actividades de desarrollo de sistemas informaticos (planificacion analisis diseno programacion pruebas),0.006
6202,Actividades de consultoria informatica y actividades de administracion de instalaciones informaticas,0.006
6209,Otras actividades de tecnologias de informacion y actividades de servicios informaticos,0.006
6311,Procesamiento de datos alojamiento (hosting) y actividades relacionadas,0.006
6312,Portales web,0.006
6391,Actividades de agencias de noticias,0.006
6399,Otras actividades de servicio de informacion n.c.p.,0.006
6411,Banco Central,0.006
6412,Bancos comerciales,0.006
6421,Actividades de las corporaciones financieras,0.006
6422,Actividades de las companias de financiamiento,0.006
6423,Banca de segundo piso,0.006
6424,Actividades de las cooperativas financieras,0.006
6431,Fideicomisos fondos y entidades financieras similares,0.006
6432,Fondos de cesantias,0.006
6491,Leasing financiero (arrendamiento financiero),0.006
6492,Actividades financieras de fondos de empleados y otras formas asociativas del sector solidario,0.006
6493,Actividades de compra de cartera o factoring,0.006
6494,Otras actividades de distribucion de fondos,0.006
6495,Instituciones especiales oficiales,0.006
6499,Otras actividades de servicio financiero excepto las de seguros y pensiones n.c.p.,0.006
6511,Seguros generales,0.006
6512,Seguros de vida,0.006
6513,Reaseguros,0.006
6514,Capitalizacion,0.006
6521,Servicios de seguros sociales de salud,0.006
6522,Servicios de seguros sociales de riesgos profesionales,0.006
6531,Regimen de prima media con prestacion definida (RPM),0.006
6532,Regimen de Ahorro Individual (RAI),0.006
6611,Administracion de mercados financieros,0.006
6612,Corretaje de valores y de contratos de productos basicos,0.006
6613,Otras actividades relacionadas con el mercado de valores,0.006
6614,Actividades de las casas de cambio,0.006
6615,Actividades de los profesionales de compra y venta de divisas,0.006
6619,Otras actividades auxiliares de las actividades de servicios financieros n.c.p.,0.006
6621,Actividades de agentes y corredores de seguros,0.006
6629,Evaluacion de riesgos y danos y otras actividades de servicios auxiliares,0.006
6630,Actividades de administracion de fondos,0.006
6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,0.006
6820,Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata,0.006
6910,Actividades juridicas,0.006
6920,Actividades de contabilidad teneduria de libros auditoria financiera y asesoria tributaria,0.006
7010,Actividades de administracion empresarial,0.006
7020,Actividades de consultoria de gestion,0.006
7110,Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica,0.006
7120,Ensayos y analisis tecnicos,0.006
7210,Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingenieria,0.006
7220,Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades,0.006
7310,Publicidad,0.006
7320,Estudios de mercado y realizacion de encuestas de opinion publica,0.006
7410,Actividades especializadas de diseno,0.006
7420,Actividades de fotografia,0.006
7490,Otras actividades profesionales cientificas y tecnicas n.c.p.,0.006
7500,Actividades veterinarias,0.006
7710,Alquiler y arrendamiento de vehiculos automotores,0.006
7721,Alquiler y arrendamiento de equipo recreativo y deportivo,0.006
7722,Alquiler de videos y discos,0.006
7729,Alquiler y arrendamiento de otros efectos personales y enseres domesticos n.c.p.,0.006
7730,Alquiler y arrendamiento de otros tipos de maquinaria equipo y bienes tangibles n.c.p.,0.006
7740,Arrendamiento de propiedad intelectual y productos similares excepto obras protegidas por derechos de autor,0.006
7810,Actividades de agencias de empleo,0.006
7820,Actividades de agencias de empleo temporal,0.006
7830,Otras actividades de suministro de recurso humano,0.006
7911,Actividades de las agencias de viaje,0.006
7912,Actividades de operadores turisticos,0.006
7990,Otros servicios de reserva y actividades relacionadas,0.006
8010,Actividades de seguridad privada,0.006
8020,Actividades de servicios de sistemas de seguridad,0.006
8030,Actividades de detectives e investigadores privados,0.006
8110,Actividades combinadas de apoyo a instalaciones,0.006
8121,Limpieza general interior de edificios,0.006
8129,Otras actividades de limpieza de edificios e instalaciones industriales,0.006
8130,Actividades de paisajismo y servicios de mantenimiento conexos,0.006
8211,Actividades combinadas de servicios administrativos de oficina,0.006
8219,Fotocopiado preparacion de documentos y otras actividades especializadas de apoyo a oficina,0.006
8220,Actividades de centros de llamadas (Call Center),0.006
8230,Organizacion de convenciones y eventos comerciales,0.006
8291,Actividades de agencias de cobranza y oficinas de calificacion crediticia,0.006
8292,Actividades de envase y empaque,0.006
8299,Otras actividades de servicio de apoyo a las empresas n.c.p.,0.006
8411,Actividades legislativas de la administracion publica,0.006
8412,Actividades ejecutivas de la administracion publica,0.006
8413,Regulacion de las actividades de organismos que prestan servicios de salud educativos culturales y otros servicios sociales excepto servicios de seguridad social,0.006
8414,Actividades reguladoras y facilitadoras de la actividad economica,0.006
8415,Actividades de los otros organos de control,0.006
8421,Relaciones exteriores,0.006
8422,Actividades de defensa,0.006
8423,Orden publico y actividades de seguridad,0.006
8424,Administracion de justicia,0.006
8430,Actividades de planes de seguridad social de afiliacion obligatoria,0.006
8511,Educacion de la primera infancia,0.006
8512,Educacion preescolar,0.006
8513,Educacion basica primaria,0.006
8521,Educacion basica secundaria,0.006
8522,Educacion media academica,0.006
8523,Educacion media tecnica y de formacion laboral,0.006
8530,Establecimientos que combinan diferentes niveles de educacion,0.006
8541,Educacion tecnica profesional,0.006
8542,Educacion tecnologica,0.006
8543,Educacion de instituciones universitarias o de escuelas tecnologicas,0.006
8544,Educacion de universidades,0.006
8551,Formacion academica no formal,0.006
8552,Ensenanza deportiva y recreativa,0.006
8553,Ensenanza cultural,0.006
8559,Otros tipos de educacion n.c.p.,0.006
8560,Actividades de apoyo a la educacion,0.006
8610,Actividades de hospitales y clinicas con internacion,0.006
8621,Actividades de la practica medica sin internacion,0.006
8622,Actividades de la practica odontologica,0.006
8691,Actividades de apoyo diagnostico,0.006
8692,Actividades de apoyo terapeutico,0.006
8699,Otras actividades de atencion de la salud humana,0.006
8710,Actividades de atencion residencial medicalizada de tipo general,0.006
8720,Actividades de atencion residencial para el cuidado de pacientes con retardo mental enfermedad mental y consumo de sustancias psicoactivas,0.006
8730,Actividades de atencion en instituciones para el cuidado de personas mayores y/o discapacitadas,0.006
8790,Otras actividades de atencion en instituciones con alojamiento,0.006
8810,Actividades de asistencia social sin alojamiento para personas mayores y discapacitadas,0.006
8890,Otras actividades de asistencia social sin alojamiento,0.006
9001,Creacion literaria,0.006
9002,Creacion musical,0.006
9003,Creacion teatral,0.006
9004,Creacion audiovisual,0.006
9005,Artes plasticas y visuales,0.006
9006,Actividades teatrales,0.006
9007,Actividades de espectaculos musicales en vivo,0.006
9008,Otras actividades de espectaculos en vivo,0.006
9101,Actividades de bibliotecas y archivos,0.006
9102,Actividades y funcionamiento de museos conservacion de edificios y sitios historicos,0.006
9103,Actividades de jardines botanicos zoologicos y reservas naturales,0.006
9200,Actividades de juegos de azar y apuestas,0.006
9311,Gestion de instalaciones deportivas,0.006
9312,Actividades de clubes deportivos,0.006
9319,Otras actividades deportivas,0.006
9321,Actividades de parques de atracciones y parques tematicos,0.006
9329,Otras actividades recreativas y de esparcimiento n.c.p.,0.006
9411,Actividades de asociaciones empresariales y de empleadores,0.006
9412,Actividades de asociaciones profesionales,0.006
9420,Actividades de sindicatos de empleados,0.006
9491,Actividades de asociaciones religiosas,0.006
9492,Actividades de asociaciones politicas,0.006
9499,Actividades de otras asociaciones n.c.p.,0.006
9511,Mantenimiento y reparacion de computadores y de equipo periferico,0.006
9512,Mantenimiento y reparacion de equipos de comunicacion,0.006
9521,Mantenimiento y reparacion de aparatos electronicos de consumo,0.006
9522,Mantenimiento y reparacion de aparatos y equipos domesticos y de jardineria,0.006
9523,Reparacion de calzado y articulos de cuero,0.006
9524,Reparacion de muebles y accesorios para el hogar,0.006
9529,Mantenimiento y reparacion de otros efectos personales y enseres domesticos,0.006
9601,Lavado y limpieza incluso la limpieza en seco de productos textiles y de piel,0.006
9602,Peluqueria y otros tratamientos de belleza,0.006
