"020342";"VENTA DE SERVICIOS EDUCATIVOS";"021742";"VENTA DE SERVICIOS EDUCATIVOS";"022442";"VENTA DE SERVICIOS EDUCATIVOS";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020343";"VENTA DE SERVICIOS DE SALUD Y PREVISIÓN SOCIAL";"021743";"VENTA DE SERVICIOS DE SALUD Y PREVISIÓN SOCIAL";"022443";"VENTA DE SERVICIOS DE SALUD Y PREVISIÓN SOCIAL";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020344";"VENTA DE SERVICIOS DE ENERGÍA";"021744";"VENTA DE SERVICIOS DE ENERGÍA";"022444";"VENTA DE SERVICIOS DE ENERGÍA";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020347";"VENTA DE SERVICIO DE ACUEDUCTO";"021747";"VENTA DE SERVICIO DE ACUEDUCTO";"022447";"VENTA DE SERVICIO DE ACUEDUCTO";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020348";"VENTA DE SERVICIO DE ALCANTARILLADO";"021748";"VENTA DE SERVICIO DE ALCANTARILLADO";"022448";"VENTA DE SERVICIO DE ALCANTARILLADO";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020349";"VENTA DE SERVICIO DE GAS COMBUSTIBLE";"021749";"VENTA DE SERVICIO DE GAS COMBUSTIBLE";"022449";"VENTA DE SERVICIO DE GAS COMBUSTIBLE";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020350";"VENTA DE SERVICIO DE ASEO";"021750";"VENTA DE SERVICIO DE ASEO";"022450";"VENTA DE SERVICIO DE ASEO";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020351";"VENTA DE SERVICIO DE TRÁNSITO Y TRANSPORTE";"021751";"VENTA DE SERVICIO DE TRÁNSITO Y TRANSPORTE";"022451";"VENTA DE SERVICIO DE TRÁNSITO Y TRANSPORTE";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020352";"VENTA DE OTROS SERVICIOS";"021752";"VENTA DE OTROS SERVICIOS";"022452";"VENTA DE OTROS SERVICIOS";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020390";"OTROS INGRESOS NO TRIBUTARIOS";"021790";"OTROS INGRESOS NO TRIBUTARIOS";"022490";"OTROS INGRESOS NO TRIBUTARIOS";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"0204";"TRANSFERENCIAS Y APORTES APROBADOS (DB)";"0218";"TRANSFERENCIAS Y APORTES POR EJECUTAR (CR)";"0226";"RECAUDOS EN EFECTIVO POR TRANSFERENCIAS Y APORTES (CR)";"0231";"EJECUCIÓN EN TÍTULOS, BIENES, COMPENSACIONES Y OTROS  (CR)";"";""
"020401";"SISTEMA GENERAL DE PARTICIPACIÓN PARA SALUD";"021801";"SISTEMA GENERAL DE PARTICIPACIÓN PARA SALUD";"022601";"SISTEMA GENERAL DE PARTICIPACIÓN PARA SALUD";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020402";"SISTEMA GENERAL DE PARTICIPACIÓN PARA EDUCACIÓN";"021802";"SISTEMA GENERAL DE PARTICIPACIÓN PARA EDUCACIÓN";"022602";"SISTEMA GENERAL DE PARTICIPACIÓN PARA EDUCACIÓN";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020403";"SISTEMA GENERAL DE PARTICIPACIÓN PARA PROPÓSITO GENERAL - LIBRE ASIGNACIÓN";"021803";"SISTEMA GENERAL DE PARTICIPACIÓN PARA PROPÓSITO GENERAL - LIBRE ASIGNACIÓN";"022603";"SISTEMA GENERAL DE PARTICIPACIÓN PARA PROPÓSITO GENERAL - LIBRE ASIGNACIÓN";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
"020404";"SISTEMA GENERAL DE PARTICIPACIÓN PARA PROPÓSITO GENERAL - FORZOSA INVERSIÓN";"021804";"SISTEMA GENERAL DE PARTICIPACIÓN PARA PROPÓSITO GENERAL - FORZOSA INVERSIÓN";"022604";"SISTEMA GENERAL DE PARTICIPACIÓN PARA PROPÓSITO GENERAL - FORZOSA INVERSIÓN";"023103";"TRANSFERENCIAS Y APORTES";"024303";"TRANSFERENCIAS Y APORTES"
