021659;Impuesto al deporte;D;NC;C
021660;Impuestos a mercancias extranjeras;D;NC;C
021661;Impuesto de circulacion  Tarjeta de turismo;D;NC;C
021662;Impuestos sobre telegrafos y telefonos urbanos;D;NC;C
021663;Impuesto por la ocupacion de vias;D;NC;C
021664;Retencion en la fuente impuesto de industria y com;D;NC;C
021665;Sobretasa del impuesto predial - CAR;D;NC;C
021666;Sobretasa bomberil;D;NC;C
021667;Estampillas para el desarrollo territorial;D;NC;C
021690;Otros impuestos tributarios nacionales;D;NC;C
021691;Otros impuestos tributarios departamentales;D;NC;C
021692;Otros impuestos tributarios distritales;D;NC;C
021693;Otros impuestos tributarios municipales;D;NC;C
0217;INGRESOS NO TRIBUTARIOS POR EJECUTAR (CR);M;NC;C
021701;Tasas  Derechos de transito;D;NC;C
021702;Tasas - peajes turisticos;D;NC;C
021703;Tasas  Contaminacion vehicular;D;NC;C
021704;Tasas  Plaza de mercado;D;NC;C
021705;Tasas  Plaza de ferias;D;NC;C
021706;Tasas  Matadero publico;D;NC;C
021707;Tasas  Peajes y estacionamiento;D;NC;C
021708;Tasa sobre minas;D;NC;C
021709;Tasa por utilizacion de recursos naturales;D;NC;C
021710;Tasa por contaminacion de recursos naturales;D;NC;C
021711;Tasa por servicios aduaneros;D;NC;C
021712;Tasa por servicios notariales;D;NC;C
021713;Tasa- Participacion en plusvalia;D;NC;C
021714;Tasa - Licencias de construccion;D;NC;C
021715;Tasa - Pliegos de licitaciones;D;NC;C
021716;Tasa - Alquiler maquinaria y equipo;D;NC;C
021717;Tasa - arrendamientos;D;NC;C
021718;Tasa  publicaciones;D;NC;C
021719;Tasa por registro de marcas quemadores y herretes;D;NC;C
021720;Tasa por pesas y medidas;D;NC;C
021721;Otras tasas;D;NC;C
021722;Multas y sanciones por impuestos;D;NC;C
021723;Otras multas y sanciones;D;NC;C
021724;Intereses por impuestos;D;NC;C
021725;Otros intereses;D;NC;C
021726;Contribucion por exportacion y explotacion de petr;D;NC;C
021727;Contribucion sobre contratos de obras publicas;D;NC;C
021728;Contribucion para el ICFES;D;NC;C
021729;Contribucion a la valorizacion;D;NC;C
021730;Contribucion sobre contratos de obra publica - Fon;D;NC;C
021731;Concesiones de larga distancia;D;NC;C
021732;Concesion sistema personalizado de comunicacion;D;NC;C
021733;Concesion del espectro electromagnetico;D;NC;C
021734;Concesion para explotacion del suelo y subsuelo;D;NC;C
021735;Concesion de sociedades portuarias;D;NC;C
021736;Regalias y compensaciones petroleras;D;NC;C
021737;Regalias y compensaciones carboniferas;D;NC;C
021738;Regalias y compensaciones gas natural;D;NC;C
021739;Otras regalias y compensaciones;D;NC;C
021740;Venta de bienes producidos;D;NC;C
021741;Venta de bienes por operaciones de comercializacio;D;NC;C
021742;Venta de servicios educativos;D;NC;C
021743;Venta de servicios de salud y prevision social;D;NC;C
021744;Venta de servicios de energia;D;NC;C
021745;Venta de servicio de comunicaciones;D;NC;C
021746;Venta de servicio de telecomunicaciones;D;NC;C
021747;Venta de servicio de acueducto;D;NC;C
021748;Venta de servicio de alcantarillado;D;NC;C
021749;Venta de servicio de gas combustible;D;NC;C
021750;Venta de servicio de aseo;D;NC;C
021751;Venta de servicio de transito y transporte;D;NC;C
021752;Venta de otros servicios;D;NC;C
021790;Otros ingresos no tributarios;D;NC;C
0218;TRANSFERENCIAS Y APORTES POR EJECUTAR (CR);M;NC;C
021801;Sistema General de Participacion para Salud;D;NC;C
021802;Sistema General de Participacion para Educacion;D;NC;C
021803;Sistema General de Participacion para Proposito Ge;D;NC;C
021804;Sistema General de Participacion para Proposito Ge;D;NC;C
021805;Participacion para pensiones  Fonpet;D;NC;C
021806;Otras participaciones del sistema general;D;NC;C
021807;Sistema General de Participaciones - Municipios li;D;NC;C
021808;Sistema General de Participaciones - Programa Alim;D;NC;C
021809;Recursos de cofinanciacion;D;NC;C
021810;Fondo Nacional de Regalias;D;NC;C
021811;Transferencias Ley 12/86;D;NC;C
021812;Participacion Ley 1ª/72;D;NC;C
021813;Transferencias prestaciones sociales pensiones;D;NC;C
021814;Transferencias  Empresa Territorial para la Salud;D;NC;C
021815;Transferencias  Empresa Territorial para la Salud;D;NC;C
021816;Transferencias  Fondo de Solidaridad y Garantia;D;NC;C
021817;Transferencias departamentales  Vehiculo automoto;D;NC;C
021818;Transferencias  Degüello ganado mayor;D;NC;C
021819;Transferencias  Otros impuestos;D;NC;C
021820;Transferencia del sector electrico  libre asignac;D;NC;C
021821;Transferencia del sector electrico  forzosa inver;D;NC;C
021822;Transferencia ESP subsidios para servicios publico;D;NC;C
021823;Aportes recibidos de gobierno nacionales;D;NC;C
021824;Aportes recibidos de gobierno departamentales;D;NC;C
021825;Aportes recibidos de gobierno distritales;D;NC;C
021826;Aportes recibidos de gobierno municipales;D;NC;C
021827;Cuota de fiscalizacion y auditaje;D;NC;C
021828;Fondo subsidio sobretasa a la gasolina;D;NC;C
021833;Sistema Gral. de Partic/- Agua Potable y Sanea/ Ba;D;NC;C
021890;Otras transferencias nacionales;D;NC;C
021891;Otras transferencias departamentales;D;NC;C
021892;Otras transferencias distritales;D;NC;C
021893;Otras transferencias municipales;D;NC;C
0219;RECURSOS DE CAPITAL POR EJECUTAR (CR);M;NC;C
021901;Credito interno  Emision TES;D;NC;C
021902;Credito interno  Emision otros titulos de deuda p;D;NC;C
021903;Credito interno  Banca comercial;D;NC;C
021904;Credito interno - Proveedores;D;NC;C
021905;Credito interno  Fonade;D;NC;C
021906;Credito interno  Findeter;D;NC;C
021907;Credito interno  Institutos Financieros Territori;D;NC;C
021908;Credito interno  Otras entidades financieras;D;NC;C
021909;Credito externo  Emision Bonos;D;NC;C
021910;Credito externo  Banca multilateral;D;NC;C
021911;Credito externo  Gobierno;D;NC;C
021912;Credito externo  Proveedores;D;NC;C
021913;Credito externo  Otras entidades financieras;D;NC;C
021914;Donaciones;D;NC;C
021915;Diferencial cambiario;D;NC;C
021916;Excedentes financieros;D;NC;C
021917;Rendimientos operaciones financieras  TES;D;NC;C
021918;Rendimientos operaciones financieras  Otros titul;D;NC;C
021919;Rendimientos financieros  Recursos libre asignaci;D;NC;C
021920;Rendimientos financieros  Recursos forzosa invers;D;NC;C
021921;Prestamos gubernamentales recibidos del gobierno g;D;NC;C
021922;Prestamos recibidos de empresas no financieras nac;D;NC;C
021923;Prestamos recibidos del gobierno general departame;D;NC;C
021924;Prestamos recibidos de empresas no financieras dep;D;NC;C
021925;Prestamos recibidos del gobierno general distrital;D;NC;C
021926;Prestamos recibidos de empresas no financieras dis;D;NC;C
021927;Prestamos recibidos del gobierno general municipal;D;NC;C
021928;Prestamos recibidos de empresas no financieras mun;D;NC;C
021929;Ingresos por titularizacion;D;NC;C
021930;Utilidades del Banco de la Republica;D;NC;C
021931;Utilidades de empresas;D;NC;C
021932;Recursos del Fondo de Ahorro y Estabilizacion Petr;D;NC;C
021933;Venta de activos financieros;D;NC;C
021934;Venta de activos no financieros al sector publico;D;NC;C
021935;Venta de activos no financieros al sector privado;D;NC;C
021936;Reduccion capital empresas;D;NC;C
021937;Recuperacion de cartera;D;NC;C
021939;Reintegros;D;NC;C
021990;Otros recursos de capital;D;NC;C
0221;CONTRIBUCIONES PARAFISCALES POR EJECUTAR (CR);M;NC;C
022101;Servicio Nacional de Aprendizaje - SENA;D;NC;C
022102;Instituto Colombiano de Bienestar Familiar - ICBF;D;NC;C
022103;Escuela Superior de Administracion Publica - ESAP;D;NC;C
022104;Cotizacion pensiones  empleados;D;NC;C
022105;Cuota de fomento;D;NC;C
022106;Cuota de contribucion cafetera;D;NC;C
022107;Fondo de promocion turistica;D;NC;C
022108;Fondo de prestaciones sociales del magisterio  Ce;D;NC;C
022109;Fondo de prestaciones sociales del magisterio  af;D;NC;C
022110;Fondo de prestaciones sociales del magisterio  af;D;NC;C
022111;Fondo de prestaciones sociales del magisterio  pa;D;NC;C
022112;Fondo de prestaciones sociales del magisterio  pa;D;NC;C
022113;Fondo de prestaciones del magisterio  rendimiento;D;NC;C
022114;Fondo de prestaciones del magisterio  intereses;D;NC;C
022190;Otras rentas parafiscales.;D;NC;C
0222;INGRESOS POR FONDOS ESPECIALES POR EJECUTAR (CR);M;NC;C
022201;Contribucion a Superintendencias;D;NC;C
022202;Cuota de fiscalizacion y auditaje;D;NC;C
022203;Comisiones de Regulacion;D;NC;C
022204;Escuelas industriales e Institutos Tecnicos;D;NC;C
022205;Financiacion sector justicia;D;NC;C
022206;Fondo defensa nacional;D;NC;C
022207;Fondo Estupefacientes Salud;D;NC;C
022208;Fondos internos Ministerio de defensa;D;NC;C
022209;Fondos internos Policia Nacional;D;NC;C
022210;Fondo de publicaciones de la Contraloria General d;D;NC;C
022211;Fondo rotatorio Ministerio de Minas y Energia;D;NC;C
022212;Fondo Nacional de Regalias;D;NC;C
022213;Fondo de solidaridad y garantia en la salud;D;NC;C
022214;Fondo de solidaridad pensional;D;NC;C
022215;Fondo de riesgos profesionales;D;NC;C
022216;Fondo salud Fuerzas Militares;D;NC;C
022217;Fondo salud Policia Nacional;D;NC;C
022218;Fondo compensacion ambiental;D;NC;C
022219;Pensiones EPSA-CVC;D;NC;C
022220;Fondo solidaridad para subsidios y redistribucion;D;NC;C
022221;Fondo de pensiones Superintendencias y Carbocol;D;NC;C
022222;Unidad Administrativa Especial de Comercio Exterio;D;NC;C
022223;Fondo seguridad y convivencia ciudadana;D;NC;C
022224;Fondo subsidio sobretasa gasolina;D;NC;C
022225;Instituto de estudios del Ministerio Publico;D;NC;C
022226;Junta Central de Contadores;D;NC;C
022227;Fondo de la sobretasa al ACPM;D;NC;C
022228;Fondo para defensa de derechos e intereses colecti;D;NC;C
022229;Fondo de investigacion en salud;D;NC;C
022230;Fondo conservacion de museos y teatros;D;NC;C
022231;Fondo apoyo financiero zonas no interconectadas;D;NC;C
022232;Fondo apoyo financiero zonas rurales interconectad;D;NC;C
022233;Fondo Escuela Nacional del Deporte;D;NC;C
022234;Fondo recursos monitoreo y vigilancia educacion su;D;NC;C
022235;Fondo Fonpet magisterio;D;NC;C
022236;Fondo especial de energia social  FOES;D;NC;C
022237;Fondo de pensiones del Fondo Rotatorio de Notariad;D;NC;C
022238;Fondo Especial Comision Nacional de Busqueda;D;NC;C
022290;Otros fondos especiales nacionales;D;NC;C
