M;41;807;Timana;
M;41;872;Villavieja;
M;41;885;Yaguara;
M;47;001;Santa Marta;
M;47;030;Algarrobo;
M;47;053;Aracataca;
M;47;058;Ariguani;
M;47;161;Cerro San Antonio;
M;47;170;Chivolo;
M;47;189;Cienaga;
M;47;205;Concordia;
M;47;245;El Banco;
M;47;258;El Piñon;
M;47;268;El Reten;
M;47;288;Fundacion;
M;47;318;Guamal;
M;47;460;Nueva Granada;
M;47;541;Pedraza;
M;47;545;Pijiño del Carmen;
M;47;551;Pivijay;
M;47;555;Plato;
M;47;570;Pueblo Viejo;
M;47;605;Remolino;
M;47;660;Sabanas de San Angel;
M;47;675;Salamina;
M;47;692;San Sebaastian de Buenavista;
M;47;703;San Zenon;
M;47;707;Santa Ana;
M;47;720;Santa Barbara de Pinto;
M;47;745;Sitionuevo;
M;47;798;Tenerife;
M;47;960;Zapayan;
M;47;980;Zona Bananera;
M;50;001;Villavicencio;
M;50;006;Acacias;
M;50;110;Barranca de Upia;
M;50;124;Cabuyaro;
M;50;150;Castilla la Nueva;
M;50;223;Cubarral;
M;50;226;Cumaral;
M;50;245;El Calvario;
M;50;251;El Castillo;
M;50;270;El Dorado;
M;50;287;Fuente de Oro;
M;50;313;Granada;
M;50;318;Guamal;
M;50;325;Mapiripan;
M;50;330;Mesetas;
M;50;350;La Macarena;
M;50;370;La Uribe;
M;50;400;Lejanias;
M;50;450;Puerto Concordia;
M;50;568;Puerto Gaitan;
M;50;573;Puerto Lopez;
M;50;577;Puerto Lleras;
M;50;590;Puerto Rico;
M;50;606;Restrepo;
M;50;680;San Carlos Guarua;
M;50;683;San Juan de Arama;
M;50;686;San Juanito;
M;50;689;San Martin;
M;50;711;Vista Hermosa;
M;52;001;San Juan de Pasto;
M;52;019;Alban;
M;52;022;Aldana;
M;52;036;Ancuya;
M;52;051;Arboleda;
M;52;079;Barbacoas;
M;52;083;Belen;
M;52;110;Buesaco;
M;52;203;Colon(Genova);
M;52;207;Consaca;
M;52;210;Contadero;
M;52;215;Cordoba;
M;52;224;Cuaspud;
M;52;227;Cumbal;
M;52;233;Cumbitara;
M;52;240;Chachagui;
M;52;250;El Charco;
M;52;254;El Peñol;
M;52;256;El Rosario;
M;52;258;El Tablon;
M;52;260;El Tambo;
M;52;287;Funes;
M;52;317;Guachucal;
M;52;320;Guaitarilla;
M;52;323;Gualmatan;
M;52;352;Iles;
M;52;354;Imues;
M;52;356;Ipiales;
M;52;378;La Cruz;
M;52;381;La Florida;
M;52;385;La Llanada;
M;52;390;La Tola;
M;52;399;La Union;
M;52;405;Leiva;
M;52;411;Linares;
M;52;418;Los Andes;
M;52;427;Magui;
M;52;435;Mallama;
M;52;473;Mosquera;
M;52;480;Nariño;
M;52;490;Olaya Herrera;
M;52;506;Ospina;
M;52;520;Pizarro;
M;52;540;Policarpa;
M;52;560;Potosi;
M;52;565;Providencia;
M;52;573;Puerres;
M;52;585;Pupiales;
M;52;612;Ricaurte;
M;52;621;Roberto Payan;
M;52;678;Samaniego;
M;52;683;Sandona;
M;52;685;San Bernardo;
M;52;687;San Lorenzo;
M;52;693;San Pablo;
M;52;694;San Pedro de Cartago;
M;52;696;Santa Barbara;
M;52;699;Santacruz;
M;52;720;Sapuyes;
M;52;786;Taminango;
M;52;788;Tangua;
M;52;835;Tumaco;
M;52;838;Tuquerres;
M;52;885;Yacuanquer;
M;54;001;Cucuta;
M;54;003;Abrego;
M;54;051;Arboledas;
M;54;099;Bochalema;
M;54;109;Bucarasica;
M;54;125;Cacota;
M;54;128;Cachira;
M;54;172;Chinacota;
M;54;174;Chitaga;
M;54;206;Convencion;
M;54;223;Cucutilla;
M;54;239;Durania;
M;54;245;El Carmen;
M;54;250;El Tarra;
M;54;261;El Zulia;
M;54;313;Gramalote;
M;54;344;Hacari;
M;54;347;Herran;
M;54;377;Labateca;
M;54;385;La Esperanza;
M;54;398;La Playa;
M;54;405;Los Patios;
M;54;418;Lourdes;
M;54;480;Mutiscua;
M;54;498;Ocaña;
M;54;518;Pamplona;
M;54;520;Pamplonita;
M;54;553;Puerto Santander;
M;54;599;Ragonvalia;
M;54;660;Salazar;
M;54;670;San Calixto;
M;54;673;San Cayetano;
M;54;680;Santiago;
M;54;720;Sardinata;
M;54;743;Silos;
M;54;800;Teorama;
M;54;810;Tibu;
M;54;820;Toledo;
M;54;871;Villacaro;
M;54;874;Villa del Rosario;
M;86;001;Mocoa;
M;86;219;Colon;
M;86;320;Orito;
M;86;568;Puerto Asis;
M;86;569;Puerto Caicedo;
M;86;571;Puerto Guzman;
M;86;573;Puerto Leguizamo;
M;86;749;Sibundoy;
M;86;755;San Francisco;
M;86;757;San Miguel;
M;86;760;Santiago;
M;86;865;Valle del Guamuez;
M;86;885;Villagarzon;
M;63;001;Armenia;
M;63;111;Buenavista;
M;63;130;Calarca;
M;63;190;Circasia;
M;63;212;Cordoba;
M;63;272;Filandia;
M;63;302;Genova;
M;63;401;La Tebaida;
M;63;470;Montenegro;
M;63;548;Pijao;
M;63;594;Quimbaya;
M;63;690;Salento;
M;66;001;Pereira;
M;66;045;Apia;
M;66;075;Balboa;
M;66;088;Belen de Umbria;
M;66;170;Dos Quebradas;
M;66;318;Guatica;
M;66;383;La Celia;
M;66;400;La Virginia;
M;66;440;Marsella;
M;66;456;Mistrato;
M;66;572;Pueblo Rico;
M;66;594;Quinchia;
M;66;682;Santa Rosa de Cabal;
M;66;687;Santuario;
M;88;001;San Andres;
M;88;564;Providencia;
M;68;001;Bucaramanga;
M;68;013;Aguada;
M;68;020;Albania;
M;68;051;Aratoca;
M;68;077;Barbosa;
M;68;079;Barichara;
M;68;081;Barrancabermeja;
M;68;092;Betulia;
M;68;101;Bolivar;
M;68;121;Cabrera;
M;68;132;california;
M;68;147;Capitanejo;
M;68;152;Carcasi;
M;68;160;Cepita;
M;68;162;Cerrito;
M;68;167;Charala;
M;68;169;Charta;
M;68;176;Chima;
M;68;179;Chipata;
M;68;190;Cimitarra;
M;68;207;Concepcion;
M;68;209;Confines;
M;68;211;Contratacion;
M;68;217;Coromoro;
M;68;229;Curiti;
M;68;235;El Carmen;
M;68;245;El Guacamayo;
M;68;250;El Peñon;
M;68;255;El Playon;
