CTRL,CODIGO,RAZ SOCIAL,IDENT,VIGENCIA, IMPUESTO , AVISOS , BOMBERIL , CULTURA , PATENTE , EXTEM , SANCION , INTERESES , SAL. FAV , INSENT , TOTAL , NUMERO DE RECIBO , DESCUENTO IMPUESTO , DESCUETO VALLAS , CTA BANCO 
D,20829,DROGUERIA LA MERCED ,790036720,2013,144000,22000,10000,12000,22000,0,0,0,0,17000,193000,1421,15000,2000,1110050511
D,20972,SUPERTIENDA MIRAMAR. ,790036720,2014,0,0,3100,12300,31000,0,0,0,0,0,46400,1422,0,0,1110050511
D,21070,ALMACEN NARINO ,790036720,2013,144000,22000,10000,12000,22000,0,0,0,0,17000,193000,1423,15000,2000,1110050511
D,21155,FERRETERIA SANDOVAL,790036720,2013,262000,39000,18000,12000,22000,0,0,0,0,30000,323000,1424,26000,4000,1110050511
D,21300,ALMACEN KINARA ,790036720,2013,123000,18500,8500,12400,21600,0,0,0,0,14000,170000,1425,12000,2000,1110050511
D,21489,ELECTRO HOGAR ,790036720,2013,1679000,252000,116000,12000,22000,0,0,0,0,193000,1888000,1426,168000,25000,1110050511
D,21510,ALMACEN Y TALLER EL CHASIS ,790036720,2013,123000,18000,8000,12000,22000,0,0,0,0,14000,169000,1427,12000,2000,1110050511
D,21564,CENTRO DEL TORNILLO Y RODAMIENTOS,790036720,2013,2438000,366000,168000,12000,22000,0,0,0,0,280000,2726000,1428,244000,36000,1110050511
D,21724,DEPOSITO,790036720,2013,144000,22000,10000,12000,21000,0,0,0,0,17000,192000,1429,14000,3000,1110050511
D,21725,GRANERO,790036720,2013,140000,21000,10000,12000,21000,0,0,0,0,16000,188000,1430,14000,2000,1110050511
D,21744,CORALSA LTDA,790036720,2013,14808000,2221000,1022000,12000,22000,0,0,0,1039000,1703000,15343000,1431,1481000,222000,1110050511
D,21782,FERREALUMINOS LA 17,790036720,2013,2990000,449000,206000,12000,22000,0,0,0,244000,344000,3091000,1432,299000,45000,1110050511
D,21826,CALZADO JOTACHE,790036720,2013,432000,65000,30000,12000,22000,0,0,0,0,50000,511000,1433,43000,7000,1110050511
D,21915,FERROELECTRICOS EL CONQUISTADOR,790036720,2013,400000,60000,28000,12000,22000,0,0,0,0,46000,476000,1434,40000,6000,1110050511
D,21944,JAVIPLAST,790036720,2013,123000,18000,8000,12000,21000,0,0,0,0,14000,168000,1435,12000,2000,1110050511
D,21978,MARY FLORISTERIA,790036720,2013,123200,18500,8500,12300,21600,0,0,0,0,14200,169900,1436,12000,2200,1110050511
D,22233,CREAM HELADO PASTAS,790036720,2013,1646000,247000,114000,12000,22000,0,0,0,0,189000,1852000,1437,165000,24000,1110050511
D,22286,DECORCERAMICAS,790036720,2013,12713000,1907000,877000,12000,22000,0,0,0,1009000,1462000,13060000,1438,1271000,191000,1110050511
